30ХГСА + КМУ-7Т2А;;;;;
Панель;КМУ-7э;2;1432.42;716.21;1.26
;;;;;
OT-4 + КМУ-11э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7315.21;594.56;1.18
Панель;КМУ-11э;2;1297.23;648.62;1.39
;;;;;
OT-4 + КМУ-11тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7805.05;634.38;1.1
Панель;КМУ-11тр;2;807.39;403.69;1.56
;;;;;
OT-4 + КМУ-7э-0,1;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7118.63;578.59;1.21
Панель;КМУ-7э-0,1;2;1493.81;746.9;1.51
;;;;;
B95 + КМУ-7Т2А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;6757.3;502.14;1.27
Панель;КМУ-7Т2А;2;1855.14;927.57;1.69
;;;;;
B95 + КМУ-7тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;7601.89;564.9;1.13
Панель;КМУ-7тр;2;1010.55;505.28;1.19
;;;;;
B95 + КМУ-2м.120.Э01;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;6960.21;517.22;1.24
Панель;КМУ-2м.120.Э01;2;1652.23;826.12;1.09
;;;;;
B95 + КМУ-4э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;6902.63;512.94;1.25
Панель;КМУ-4э;2;1709.81;854.9;1.05
;;;;;
B95 + КМУ-7л;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;5965.11;443.27;1.44
Панель;КМУ-7л;2;2647.33;1323.67;0.73
;;;;;
B95 + КМУ-7Т1А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;6757.3;502.14;1.27
Панель;КМУ-7Т1А;2;1855.14;927.57;1.51
;;;;;
B95 + КМУ-7э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;6735.49;500.52;1.28
Панель;КМУ-7э;2;1876.96;938.48;0.96
;;;;;
B95 + КМУ-11э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;6902.63;512.94;1.25
Панель;КМУ-11э;2;1709.81;854.9;1.05
;;;;;
B95 + КМУ-11тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;7525.11;559.2;1.14
Панель;КМУ-11тр;2;1087.33;543.67;1.16
;;;;;
B95 + КМУ-7э-0,1;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;B95;13.46;6660.22;494.93;1.29
Панель;КМУ-7э-0,1;2;1952.22;976.11;1.16
;;;;;
BT20 + КМУ-7Т2А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;6724.38;780.78;1.28
Панель;КМУ-7Т2А;2;1888.06;944.03;1.66
;;;;;
BT20 + КМУ-7тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;7581.67;880.32;1.14
Панель;КМУ-7тр;2;1030.77;515.39;1.16
;;;;;
BT20 + КМУ-2м.120.Э01;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;6929.99;804.65;1.24
Панель;КМУ-2м.120.Э01;2;1682.45;841.22;1.07
;;;;;
BT20 + КМУ-4э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;6871.63;797.87;1.25
Панель;КМУ-4э;2;1740.81;870.41;1.03
;;;;;
BT20 + КМУ-7л;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;5923.73;687.81;1.45
Панель;КМУ-7л;2;2688.71;1344.36;0.72
;;;;;
BT20 + КМУ-7Т1А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;6724.38;780.78;1.28
Панель;КМУ-7Т1А;2;1888.06;944.03;1.48
;;;;;
BT20 + КМУ-7э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;6702.29;778.21;1.28
Панель;КМУ-7э;2;1910.15;955.08;0.94
;;;;;
BT20 + КМУ-11э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;6871.63;797.87;1.25
Панель;КМУ-11э;2;1740.81;870.41;1.03
;;;;;
BT20 + КМУ-11тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;7503.58;871.25;1.15
Панель;КМУ-11тр;2;1108.86;554.43;1.14
;;;;;
BT20 + КМУ-7э-0,1;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;8.61;6626.09;769.36;1.3
Панель;КМУ-7э-0,1;2;1986.35;993.18;1.14
